Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Chris Whitney,4,0,0,0,0,1,12,1,0,0,0,2
Charlie Ward,1,0,0,0,0,1,36,2,0,-2,1,1
Paul Pierce,0,5,1,0,0,1,40,0,0,2,1,0
Rashard Lewis,0,1,4,0,0,1,40,1,0,2,-2,1
Vladimir Radmanovic,0,0,0,1,5,1,36,1,0,1,0,0
Gary Trent,0,0,0,4,0,1,24,3,0,1,0,1
Samuel Dalembert,0,0,0,5,1,1,36,3,0,0,1,0
Kwame Brown,0,0,0,0,0,1,1,3,0,0,0,0
Rodney White,0,4,5,0,0,1,12,2,0,-2,2,-2
Obinna Ekezie,0,0,0,5,0,1,1,0,0,0,1,0
Bruce Bowen,0,0,0,0,0,0,1,1,0,0,0,0
Jim Mcilvaine,0,0,0,0,4,1,12,0,0,0,2,0
Jerry Sichting,5,0,0,0,0,1,1,0,0,0,0,1
,,,,,,,,,,,,
,,,,,,,,,,,,

