Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Earl Watson,4,4,0,0,0,1,8,0,0,0,2,0
Chauncey Billups,1,5,0,0,0,1,40,0,0,2,0,1
Jason Terry,5,1,0,0,0,1,40,0,0,2,0,1
DerMarr Johnson,0,5,4,0,0,1,24,1,0,0,0,0
Antonis Fotsis,0,0,5,0,0,1,1,0,0,0,2,0
Pau Gasol,0,0,0,1,5,1,40,0,0,2,0,-2
Aaron Williams,0,0,0,5,4,1,8,3,0,1,1,-2
Andrew DeClercq,0,0,0,0,0,0,1,0,0,0,-2,-2
Danny Fortson,0,0,0,5,1,1,40,0,0,2,-2,-2
Antoine Walker,0,0,1,4,0,1,36,0,0,2,0,-2
Alvin Jones,0,0,0,5,5,1,8,0,0,0,2,-2
Donald Royal,0,0,5,0,0,1,8,0,0,1,0,0
Maurice Williams,5,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,

