Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Sam Cassell,1,0,0,0,0,1,36,2,0,0,-1,2
Eddie House,0,0,0,0,0,1,1,0,0,0,0,0
Clyde Drexler,5,1,5,0,0,1,36,2,0,2,-1,1
Vince Carter,5,5,1,0,0,1,36,0,1,0,0,1
Sean Elliott,0,0,0,0,0,1,1,0,0,0,0,0
Glen Rice,0,0,0,0,0,1,1,0,0,0,0,0
Zach Randolph,0,0,0,1,5,1,36,3,3,-1,2,0
Brian Scalabrine,0,0,0,0,0,0,1,0,0,0,0,0
Brad Miller,0,0,0,5,1,1,36,3,3,2,-1,0
Jerome James,0,0,0,3,3,1,36,3,3,0,-1,-2
Michael Jordan,3,3,3,0,0,1,36,2,0,0,0,1
Marc Jackson,0,0,0,0,0,1,1,3,3,0,1,0
Anthony Taylor,0,0,0,0,0,1,1,0,0,0,0,0
Ron Mercer,0,0,0,0,0,0,1,0,0,0,0,0
Deshawn Stevenso,0,0,0,0,0,0,1,0,0,0,0,0

