Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Mike Bibby,1,0,0,0,0,1,36,0,0,1,2,2
Antonio Daniels,4,0,0,0,0,1,16,0,0,1,0,2
Bonzi Wells,0,1,5,0,0,1,40,0,0,2,2,0
Penny Hardaway,0,0,0,0,0,1,1,0,0,0,1,2
Adrian Dantley,0,5,1,0,0,1,40,0,0,2,0,0
Darvin Ham,0,0,0,0,0,0,0,0,0,0,0,0
Elton Brand,0,0,0,5,1,1,40,3,3,2,0,0
Rasheed Wallace,0,0,0,1,5,1,37,1,0,2,2,-2
Ervin Johnson,0,0,0,0,4,1,16,3,0,-2,2,-2
Anthony Mason,0,0,0,5,0,1,1,0,0,0,0,0
Allan Houston,0,3,3,0,0,1,34,1,0,2,0,0
Brian Grant,0,0,0,4,0,1,15,3,0,1,2,0
Jeff McInnis,5,5,0,0,0,1,1,0,0,2,-1,1
Bulls Buyout,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,

