Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Troy Hudson,4,4,0,0,0,1,24,1,0,2,2,-2
Kenny Anderson,0,0,0,0,0,1,1,2,0,-2,2,2
Cuttino Mobley,5,1,0,0,0,1,40,1,0,2,2,-2
Eddie Griffin,0,0,0,0,0,1,1,3,0,-2,2,-2
Walter McCarty,0,0,0,0,0,1,1,1,0,2,2,-2
Larry Smith,0,0,0,1,5,1,40,3,0,2,2,-2
Kenny Thomas,0,0,1,5,0,1,40,3,0,2,2,-2
Jahidi White,0,0,5,0,1,1,40,3,0,2,2,-2
Steven Hunter,0,0,0,0,0,0,1,3,3,0,2,-2
Vladimir Stepania,0,0,4,4,0,1,24,3,0,2,2,-2
Lorenzen Wright,0,0,0,0,4,1,16,3,0,2,2,-2
Carlos Rogers,0,0,0,0,5,1,1,3,0,2,2,-2
Erick Barkley,0,0,0,0,0,0,1,2,0,-2,2,2
Ryan Bowen,0,0,0,0,0,0,1,3,0,-2,2,-2
Damian Lillard,1,5,0,0,0,1,40,1,0,2,-2,-2

