Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Darrell Griffith,5,5,0,0,0,1,1,1,0,-2,0,-2
Calbert Cheaney,0,0,1,5,0,1,40,0,0,0,2,-2
Morris Peterson,4,4,4,0,0,1,32,1,0,-2,0,-2
Rodney Rogers,1,0,5,0,0,1,40,1,0,1,0,-2
Stromile Swift,0,0,0,4,1,1,40,3,0,2,0,-2
Keon Clark,0,0,0,1,4,1,40,3,0,0,-1,-2
Alonzo Mourning,0,0,0,0,0,1,1,3,3,2,-2,-2
Amal McCaskill,0,0,0,0,5,1,8,3,0,-2,2,-2
Danny Granger,0,1,0,0,0,1,40,0,0,-2,0,-2
Dion Glover,0,0,0,0,0,1,1,1,0,-2,2,-2
Clifford Robinson,0,0,0,0,0,1,1,1,0,-2,-2,-2
Scott Lloyd,0,0,0,0,0,1,1,0,0,-2,2,-2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

