Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Gary Payton,1,0,0,0,0,1,40,2,0,-2,-2,2
Rafer Alston,5,5,0,0,0,1,1,1,0,-2,0,2
Jon Barry,0,1,5,0,0,1,40,1,0,2,1,-2
Jerry Stackhouse,4,4,4,0,0,1,24,0,0,-1,-2,-1
Grant Hill,0,0,1,0,0,1,40,3,0,-1,-2,-1
Derrick Coleman,0,0,0,1,5,1,40,3,0,1,-1,0
David Robinson,0,0,0,5,1,1,40,3,3,2,-2,-2
Leon Smith,0,0,0,3,4,1,16,3,3,-2,2,-1
Alvin Williams,5,0,0,0,0,1,1,0,0,0,0,1
Lavor Postell,0,0,0,0,0,1,0,3,0,0,2,0
Eric Riley,0,0,0,5,5,1,1,3,3,-2,-2,-2
Reggie Carter,0,0,0,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

