Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Jason Williams,1,0,0,0,0,1,38,2,0,0,0,2
Jacque Vaughn,4,0,0,0,0,1,5,0,0,0,0,0
Allen Iverson,5,1,5,0,0,1,40,2,0,0,0,-2
Stephen Jackson,5,5,4,0,0,1,9,0,0,0,0,0
Richard Jefferson,0,4,1,0,0,1,34,0,0,0,0,0
Desmond Mason,0,4,5,0,0,1,13,0,0,0,0,0
Kurt Thomas,0,0,4,1,4,1,33,3,3,0,0,0
Christian Laettner,0,0,0,5,4,1,18,3,0,0,0,0
Marcus Camby,0,0,0,5,1,1,40,3,3,0,0,0
Adonal Foyle,0,0,0,4,4,1,32,3,3,0,2,0
Shawn Kemp,0,0,0,5,5,1,5,0,0,0,0,0
John Wallace,0,0,0,0,0,1,5,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

