Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Steve Francis,4,1,0,0,0,1,40,2,0,2,1,2
Tony Parker,1,0,0,0,0,1,40,0,0,0,0,0
Quentin Richardson,0,4,1,0,0,1,40,1,0,0,-2,0
Richard Hamilton,0,2,2,0,0,1,0,0,0,0,0,0
Mario Elie,0,3,3,0,0,1,0,0,0,0,0,0
Tremaine Fowlkes,0,0,0,0,0,0,0,0,0,0,0,0
Brian Grant,0,0,0,5,5,1,0,3,0,1,2,0
Chris Crawford,0,0,0,0,0,1,0,0,0,0,0,0
Elmore Smith,0,0,4,1,4,1,40,0,0,0,0,0
Olumide Oyedeji,0,0,0,4,1,1,40,3,0,0,-2,0
Erick Dampier,0,0,0,3,2,1,0,0,0,0,0,0
Theo Ratliff,0,0,0,2,3,1,0,0,0,0,0,0
Anthony Carter,2,0,0,0,0,1,0,0,0,0,0,0
Mateen Cleaves,0,0,0,0,0,0,0,0,0,0,0,0
Randy Brown,3,0,0,0,0,1,0,0,0,0,0,0

