Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Aaron McKie,1,0,0,0,0,1,30,1,0,-2,2,2
Terry Porter,0,0,0,0,0,1,1,1,0,-2,2,2
Brent Barry,5,1,5,4,0,1,40,1,0,2,2,0
Ray Allen,0,4,1,0,0,1,40,1,0,2,0,-2
Danny Ferry,0,0,0,0,0,1,1,0,0,-2,2,0
Tim Duncan,0,0,0,3,1,1,40,2,0,0,2,-2
Jeff Foster,0,0,0,1,3,1,40,3,0,-2,2,0
Antonio Davis,0,0,0,0,5,1,1,3,0,-2,2,0
Eddie Jones,3,3,3,0,0,1,30,1,0,0,2,0
Ruben Boumtje-Boumtje,0,0,0,0,0,1,1,0,0,-2,2,0
Jaren Jackson,0,0,0,0,0,1,1,0,0,-2,2,0
John Thomas,0,0,0,0,0,1,1,0,0,-2,2,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

