Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Brevin Knight,1,0,0,0,0,1,0,2,0,0,0,2
Kevin Ollie,5,0,0,0,0,1,0,3,2,0,1,0
Maurice Evans,0,1,0,0,0,1,0,2,0,0,0,0
Courtney Alexander,2,2,0,0,0,1,0,0,0,1,0,0
Corliss Williamson,0,0,1,0,0,1,40,0,0,2,0,0
Sam Mitchell,0,5,5,5,0,1,0,0,0,0,0,0
Drew Gooden,0,0,0,1,0,1,40,0,0,0,0,0
Vin Baker,0,0,2,2,2,1,0,3,0,1,0,0
Patrick Ewing,0,0,0,0,1,1,40,3,0,1,0,0
Blair Rasmussen,0,0,0,0,0,1,0,0,0,0,0,0
Michael Bradley,0,0,5,5,5,1,0,0,0,0,0,0
Primoz Brezec,0,0,5,5,5,1,0,3,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

