Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Joe Crispin,4,4,0,0,0,1,28,1,0,2,0,2
Mark Jackson,1,0,0,0,0,1,30,2,0,0,0,2
David Wingate,0,0,0,0,0,0,1,0,0,0,0,0
Ron Artest,0,1,0,0,0,1,34,3,0,0,0,0
Hedo Turkoglu,5,0,1,0,0,1,32,3,0,-1,0,2
Austin Croshere,0,0,0,5,0,1,4,0,0,0,0,0
Jake Tsakalidis,0,0,0,4,4,1,18,3,0,0,0,0
Keith Van Horn,0,0,0,1,5,1,33,1,0,0,0,0
Pat Garrity,0,0,4,0,0,1,14,1,0,-1,-2,-2
Brian Cardinal,0,0,0,0,0,1,1,1,0,0,0,0
Eric Piatkowski,0,5,0,0,0,1,6,1,0,0,0,0
Raja Bell,0,0,0,0,0,0,1,0,0,0,0,0
Laphonso Ellis,0,0,0,0,0,0,1,0,0,0,0,0
Kevin Garnett,0,0,5,0,1,1,40,3,0,1,2,-2
,,,,,,,,,,,,

