Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Stephon Marbury,4,1,0,0,0,1,36,2,1,0,-2,-1
Rod Strickland,1,5,0,0,0,1,36,3,2,-1,2,2
Steve Kerr,0,0,0,0,0,0,1,1,1,0,0,-2
Hubert Davis,5,5,4,0,0,1,20,1,1,1,0,-1
Darius Miles,0,4,1,0,0,1,33,3,3,1,0,-1
Tim Thomas,0,0,0,0,0,0,1,1,2,0,2,-2
Troy Murphy,0,0,0,0,0,1,2,3,3,-2,-2,-2
Anthony Randolph,0,0,5,1,0,1,36,3,3,1,0,-2
Prime Mutombo,0,0,0,4,1,1,40,3,3,2,-1,-2
Tony Battie,0,0,0,5,4,1,16,3,3,1,0,-2
Desmond Mason,0,0,0,0,0,1,6,3,1,-2,0,-2
Tony Massenburg,0,0,0,0,5,1,6,3,3,-2,2,-2
Jeff Lamp,0,0,0,0,0,1,1,1,1,0,0,-2
,,,,,,,,,,,,
,,,,,,,,,,,,

