Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Tyronn Lue,4,5,0,0,0,1,1,1,0,-2,-2,2
Bobby Jackson,1,5,0,0,0,1,40,1,0,-1,-2,0
Shane Battier,5,4,4,0,0,1,24,3,0,0,-2,1
Peja Stojakovic,0,1,5,0,0,1,40,1,0,0,-2,0
Ansu Sesay,0,0,0,0,0,1,1,3,0,-1,0,0
Jerome Williams,0,0,1,5,5,1,40,3,0,-2,-2,0
Mark Strickland,0,0,0,0,0,0,1,0,0,0,-2,0
Vlade Divac,0,0,5,1,5,1,40,2,0,2,-2,0
Jake Voskuhl,0,0,0,5,1,1,40,0,3,1,-2,0
Greg Anthony,0,0,0,0,0,1,1,2,0,-2,2,2
Predrag Drobnjak,0,0,0,0,0,0,1,0,0,0,0,0
Art Long,0,0,0,0,0,1,1,3,0,1,-2,0
Loy Vaught,0,0,0,4,4,1,16,3,0,-2,-2,1
Bernard Robinson,0,0,0,0,0,1,1,0,0,0,0,0
,,,,,,,,,,,,

