Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Jason Hart,4,5,0,0,0,1,12,2,0,2,2,2
Charles C. Smith,0,0,0,0,0,1,1,2,0,0,2,-2
Mike Miller,5,1,4,0,0,1,40,1,0,2,2,-2
Doug Christie,1,4,5,0,0,1,40,2,0,2,2,2
Walt Williams,0,0,0,0,0,0,1,1,0,2,2,-2
Derrick McKey,0,0,0,0,0,1,1,1,0,-2,2,-2
Todd MacCulloch,0,0,0,5,1,1,40,3,0,2,2,-2
Shawn Bradley,0,0,0,0,0,1,8,3,3,2,2,-2
Dan Majerle,0,0,0,0,0,1,1,1,0,-2,2,-2
Mark Blount,0,0,0,0,0,0,1,3,0,2,2,-2
Kurt Nimphius,0,0,0,1,4,1,40,3,0,2,2,-2
Jan Vanbredakolf,0,0,0,0,0,0,1,0,0,0,0,0
Kelvin Cato,0,0,1,4,5,1,40,3,3,2,2,-2
Michael Olowokandi,0,0,0,0,0,1,1,3,3,-2,2,-2
Tremaine Fowlkes,0,0,0,0,0,0,1,0,0,0,0,0

