Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Terrell Brandon,1,5,0,0,0,1,40,2,0,0,-2,2
Chucky Atkins,4,4,0,0,0,1,16,1,0,0,-2,-2
Tracy McGrady,5,1,0,0,0,1,40,3,0,2,-2,-2
Derek Anderson,0,0,0,0,0,1,1,3,0,-1,-2,-2
Malik Allen,0,0,5,4,4,1,16,3,0,0,2,-2
Alan Henderson,0,0,4,0,0,1,8,3,0,0,-2,-2
Brendan Haywood,0,0,0,5,1,1,40,3,3,0,-2,-2
Scot Pollard,0,0,1,5,0,1,40,3,0,1,-2,-2
C.J. Miles,0,0,0,0,0,1,1,0,0,-1,-2,-2
Kevin Willis,0,0,0,1,5,1,40,3,3,0,-2,-2
DJ Strawberry,0,0,0,0,0,1,1,0,0,-1,-2,-2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

