Name,PG,SG,SF,PF,C,ACTIVE,MIN,OF,DF,OI,DI
Damon Stoudamire,1,0,0,0,0,1,32,0,0,-2,0,2
Mike James,3,0,0,0,0,1,1,1,0,-2,0,2
Jason Richardson,4,1,5,0,0,1,36,0,0,0,-1,-2
Kedrick Brown,0,3,3,0,0,1,20,0,0,-2,2,-2
Gerald Wallace,0,4,1,5,0,1,32,3,0,0,0,-2
Eddie Johnson,0,2,4,5,0,1,10,3,0,0,0,-2
Jermaine O'Neal,0,0,0,1,3,1,36,0,3,0,-2,-2
Lawrence Funderburke,0,0,0,2,1,1,32,3,3,0,0,-2
Jason Collins,0,0,0,5,4,1,0,3,3,0,-2,-2
Winston Bennett,0,0,0,4,0,1,1,0,0,0,-2,-2
Robert Pack,2,0,0,0,0,1,10,2,0,-2,0,2
Antonio Harvey,0,0,0,3,2,1,0,0,0,-2,-2,-2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

